"country","name","birth_date","gender","disciplines"
"Ukraine","DOROSHCHUK Oleh","2001-07-04","Male","'Athletics'"
"Ukraine","BANZERUK Ivan","1990-02-09","Male","'Athletics'"
"Ukraine","HLAVAN Ihor","1990-09-25","Male","'Athletics'"
"Ukraine","GERASHCHENKO Iryna","1995-03-10","Female","'Athletics'"
"Ukraine","DANYLENKO Danylo","1994-10-10","Male","'Athletics'"
"Ukraine","TKACHUK Viktoriya","1994-11-08","Female","'Athletics'"
"Ukraine","PROTSENKO Andrii","1988-05-20","Male","'Athletics'"
"Namibia","MILLER Alex","2000-11-20","Male","'Cycling Mountain Bike'"
"Korea","LEE Eunji","2006-07-23","Female","'Swimming'"
"Ukraine","BELOMOINA Yana","1992-11-02","Female","'Cycling Mountain Bike'"
"Ukraine","HUDYMA Oleksandr","2003-02-11","Male","'Cycling Mountain Bike'"
"Cuba","GUZMAN LOPEZ Yusneylis","1996-08-08","Female","'Wrestling'"
"Ukraine","MARCHENKO Veronika","1993-04-03","Female","'Archery'"
"Ukraine","USACH Mykhailo","1996-11-20","Male","'Archery'"
"Ukraine","US Viktoriia","1993-04-29","Female","'Canoe Slalom'"
"Israel","AFRIFAH Blessing Akwasi","2003-10-26","Male","'Athletics'"
"Israel","AMARE Girmaw","1987-10-26","Male","'Athletics'"
"Israel","ALAME Haimro","1990-06-08","Male","'Athletics'"
"Thailand","YOHUANG Phurit","2003-03-22","Male","'Modern Pentathlon'"
"Sweden","NYMAN Marcus","1990-08-14","Male","'Judo'"
"Sweden","BABULFATH Tara","2006-01-03","Female","'Judo'"
"Ukraine","BIRIUKOVA Yuliia","1998-01-24","Female","'Cycling Road'"
"Ukraine","BUDIAK Anatolii","1995-09-29","Male","'Cycling Road'"
"Cuba","MARIN POTRILLE Milaimy de la Carid","2001-03-16","Female","'Wrestling'"
"Burkina Faso","ZANGO Hugues Fabrice","1993-06-25","Male","'Athletics'"
"Burkina Faso","BAMOGO Awa","1999-06-15","Female","'Cycling Road'"
"Ukraine","MYKHAILOV Vasyl","1995-06-24","Male","'Wrestling'"
"Ukraine","KHOTSIANIVSKYI Oleksandr","1990-07-20","Male","'Wrestling'"
"Ukraine","McHEDLIDZE Murazi","1994-06-21","Male","'Wrestling'"
"Burkina Faso","KOALA Marthe","1994-03-08","Female","'Athletics'"
"Cuba","VALDES TOBIER Alejandro Enrique","1988-11-18","Male","'Wrestling'"
"Cuba","GARZON CABALLERO Geandry","1983-11-05","Male","'Wrestling'"
"Singapore","LOUIS Marc Brian","2002-08-07","Male","'Athletics'"
"Chinese Taipei","LEE Chia Hsin","1997-05-11","Female","'Badminton'"
"Türkiye","AKBUDAK Burhan","1995-06-01","Male","'Wrestling'"
"Türkiye","CENGIZ Ali","1996-04-08","Male","'Wrestling'"
"Türkiye","BAKIR Muhammet Hamza","2001-01-20","Male","'Wrestling'"
"Mauritius","ROUGIER-LAGANE Christopher","1998-09-24","Male","'Cycling Road'"
"Korea","AN Byeong Hun","1991-09-17","Male","'Golf'"
"Korea","KIM Hyo Joo","1995-07-14","Female","'Golf'"
"Korea","KIM Tom","2002-06-21","Male","'Golf'"
"Korea","KO Jin Young","1995-07-07","Female","'Golf'"
"Republic of Moldova","URSU Vladislav","2001-03-01","Male","'Table Tennis'"
"Türkiye","BASAR Enes","1993-04-30","Male","'Wrestling'"
"Republic of Moldova","NICHITA Anastasia","1999-02-19","Female","'Wrestling'"
"Republic of Moldova","RINGACI Irina","2001-08-23","Female","'Wrestling'"
"Republic of Moldova","DRAGUTAN Mariana","2000-11-29","Female","'Wrestling'"
"Sweden","OHRSTROM Isak","1990-11-26","Male","'Canoe Slalom'"
"Hungary","JOZSA Levente Mark","2002-10-04","Male","'Taekwondo'"
"Hungary","MARTON Viviana","2006-02-16","Female","'Taekwondo'"
"Hungary","SALIM Omar Gergely","2003-04-12","Male","'Taekwondo'"
"Kyrgyzstan","PETRASHOV Denis","2000-02-01","Male","'Swimming'"
"Israel","TEFERI Maru","1992-08-17","Male","'Athletics'"
"Austria","SCHOBER Sarah","1992-04-15","Female","'Golf'"
"Austria","SPITZ Emma","2000-04-10","Female","'Golf'"
"Ireland","GREENE Darragh","1995-10-20","Male","'Swimming'"
"Ireland","O DONOVAN Paul","1994-04-19","Male","'Rowing'"
"Ireland","SWEETNAM Shane","1981-01-19","Male","'Equestrian'"
"Ireland","KENNY Darragh","1988-01-24","Male","'Equestrian'"
"Ireland","CROSS Timothy","1991-01-26","Male","'Hockey'"
"Ireland","COLE Lee","1995-02-21","Male","'Hockey'"
"Ireland","PAGE Nicholas","1997-05-28","Male","'Hockey'"
"Sudan","SALEEM Ziyad","2003-03-24","Male","'Swimming'"
"Sweden","NILSSON GARIP Emilia","2003-04-21","Female","'Diving'"
"Sweden","COLEMAN Michelle","1993-10-31","Female","'Swimming'"
"Sweden","ELIASSON Isak","1996-01-22","Male","'Swimming'"
"Sweden","PERSSON Elias","2002-04-03","Male","'Swimming'"
"Sweden","HANSON Robin","2001-04-02","Male","'Swimming'"
"Sweden","HANSSON Sophie","1998-08-02","Female","'Swimming'"
"Sweden","HANSSON Louise","1996-11-24","Female","'Swimming'"
"Sweden","JOHANSSON Victor","1998-09-13","Male","'Marathon Swimming', 'Swimming'"
"Sweden","JUNEVIK Sara","2000-02-14","Female","'Swimming'"
"Sweden","PERSSON Erik","1994-01-12","Male","'Swimming'"
"Sweden","SEELIGER Bjoern","2000-01-11","Male","'Swimming'"
