"name","medal_type","gender","country","event","isteam","url_event"
"WILLIAMS Charity","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"DANIELS Chloe","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"HOGAN-ROCHESTER Asia","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"CORRIGAN Alysha","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"CROSSLEY Caroline","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"SKINNER Avery","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"RETTKE Dana","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"ROBINSON Kelsey","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"THOMPSON Jordan","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"WASHINGTON Haleigh","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"WONG-ORANTES Justine","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"POULTER Jordyn","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"CARLINI Lauren","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"LARSON Jordan","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"DREWS Andrea","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"PLUMMER Kathryn","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"OGBOGU Chiaka","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"HANCOCK Micha","Silver Medal","Female","United States","Women",True,"/en/paris-2024/results/volleyball/women/fnl-000100--"
"YANG Junxuan","Bronze Medal","Female","China","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"WU Qingfeng","Bronze Medal","Female","China","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"CHENG Yujie","Bronze Medal","Female","China","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"YU Yiting","Bronze Medal","Female","China","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
